	ヶ
intelligence	インテリジェンス
intelligent	インテリジェント
intelligentsia	インテリ
intense	ガンガン
intensity	インテンシティ
intensive	インテンシブ
intentional	インテンショナル
interQ	インターキュー
interaction	インターアクション
interactive	インタアクティブ
interactivity	インタラクティビティー
interbank	インターバンク
intercept	インターセプト
interception	インターセプション
interceptor	インターセプター
interchange	インター
intercollegiate	インターカレッジ
intercom	インターコム
intercontinental	インターコンチネンタル
intercourse	インターコース
intercut	インターカット
interest	インタレスト
interexchange	インターエクスチェンジ
interface	インターフェイス
interfere	インターフェア
interference	インターフェアランス
interferon	インターフェロン
interior	インテリア
interlace	インターレース
interleave	インターリーブ
interleaving	インターリービング
interleukin	インターロイキン
interlock	インターロック
interlude	インタールード
intermezzo	インテルメッツォ
intermission	インターミッション
intermittently	チラチラ
intern	インターン
internal	インターナル
international	インター
internationalism	インターナショナリズム
internationalization	インターナショナライゼーション
internetwork	インターネットワーク
internetworking	インターネットワーキング
internship	インターンシップ
interoperability	インターオペラビリティ
interpret	インタプリト
interpreter	インタープリタ
interpretive	インタプリティブ
interrogation	インタロゲイション
interrupt	インターラプト
interval	インターバル
interview	インタービュー
interviewer	インタヴュアー
interworking	インターワーキング
intifada	インティファーダ
intimate	インティメート
intolerance	イントレランス
intonation	イントネーション
intrastat	イントラスタット
intro	イントロ
intro-pack	イントロパック
intro-vision	イントロビジョン
introduction	イントロ
intron	イントロン
inulin	イヌリン
invader	インベーダー
invalid	インバリッド
invariant	インヴァリアント
invention	インヴェンション
inventor	クリエイター
inventory	インベントリ
inverse	インヴァース
invertase	インベルターゼ
inverter	インバータ
investment	インベストメント
investor	インベスター
invisible	インビジブル
invitation	インビテーション
invoice	インヴォイス
involute	インボリュート
involve	インボルブ
iodine	アイオダイン
iolite	アイオライト
ion	イオン
ionizer	イオナイザー
iridium	イリジウム
iris	アイリス
iris-in	アイリスイン
iris-out	アイリスアウト
iron	アイアン
ironic	アイロニック
ironical	アイロニカル
ironing	アイアニング
ironstone	アイアンストン
irony	アイアロニ
irradiation	イラジエーション
irrational	イラショナル
irredentism	イレデンティズム
irregular	イレギュラー
irresistibly	ムラムラ
irrumatio	イマラチオ
ish	アイシュ
isinglass	アイシングラス
island	アイランド
iso-	イソ
isobutylene	イソブチレン
isocentre	アイソセンタ
isoenzyme	アイソザイム
isoflavone	イソフラボン
isokinetics	アイソキネティックス
isolate	アイソレイト
isolation	アイソレーション
isolator	アイソレータ
isoleucine	イソロイシン
isomerase	イソメラーゼ
isometric	アイソメトリック
isometrics	アイソメトリックス
isoniazid	イソニアジド
isooctane	イソオクタン
isoparametric	アイソパラメトリック
isoprene	イソプレン
isopropanol	イソプロパノール
isopyre	アイソパイア
isoquinoline	イソキノリン
isospin	アイソスピン
isostasy	アイソスタシー
isotonic	アイソトニック
isotonics	アイソトニックス
isotope	アイソトープ
isotron	アイソトロン
isotype	アイソタイプ
isozyme	アイソザイム
it	イット
italic	イタリック
itch	イッチ
item	アイタム
ivory	アイボリ
ivory-white	アイボリーホワイト
ivy	アイビ
ixia	イキシア
iyokan	イヨカン
jab	ジャブ
jabber	ジャバ
jack	ジャッキ
jack-knife	ジャックナイフ
jack-o'-lantern	ジャック・オ・ランターン
jackal	ジャッカル
jacket	ウィンドブレーカー
jackpot	ジャックポット
jacuzzi	ジャクージ
jade	ジェイド
jagged	ギザギザ
jaggies	ジャギー
jaguar	ジャガー
jalap	ヤラッパ
jam	ジャム
jam-packed	キチキチ
jambalaya	ジャンバライヤ
jamboree	ジャンボリー
jammer	ジャマー
jamming	ジャミング
jangling	ジャラジャラ
jar	ジャー
jargon	ジャーゴン
jasmine	ジャスミン
jasperware	ジャスパーウエア
jassid	ヨコバイ
java	ジャワ
javelin	ジャベリン
jaw	ジョー
jawboning	ジョーボニング
jaws	ジョーズ
jay	ジェイ
jazz	ジャズ
jazzercise	ジャザーサイズ
jazzercize	ジャザーサイズ
jazzmen	ジャズメン
jealousy	ジェラシー
jeans	ジーパン
jeep	ジープ
jeepney	ジープニー
jehad	ジハード
jelly	ジェリィ
jellybean	ジェリービーンズ
jellybeans	ジェリービーンズ
jellyfish	クラゲ
jerk	ジャーク
jerkily	グキグキ
jerkiness	ギクシャク
jerkingly	ガクンガクン
jerky	ジャーキー
jerrycan	ジェリカン
jersey	ジャージ
jet	ジェット
jet-lag	ジェットラグ
jetfoil	ジェットフォイル
jewel	ジュエル
jewellery	ジュエリー
jewelry	ジューリー
jiaogulan	アマチャヅル
jib	ジブ
jig	ジグ
jigger	ジガー
jigsaw	ジグソー
jihad	ジハード
jin	ジン
jingle	ジングル
jingling	ジャラジャラ
jingoism	ジンゴイズム
jinx	ジンクス
jitter	ジッタ
jitterbug	ジタバグ
jive	ジャイブ
job	ジョブ
jobhopper	ジョブホッパー
jockey	ジョッキ
jodhpurs	ジョッパーズ
joe	ジョー
jog	ジョグ
jogger	ジョガー
jogging	ジョギング
join	ジョイン
joint	ジョイント
joist	ジョイスト
joke	ギャグ
joker	ジョーカー
jonquil	キズイセン
joule	ジュール
journal	ジャーナル
journalism	ジャーナリズム
journalist	ジャーナリスト
journalistic	ジャーナリスティック
journey	ジャーニー
joy	ジョイ
joyful	ジョイフル
joypad	ジョイパッド
joystick	レバー
jubilee	ジュビリー
judder	ジャダー
judge	ジャッジ
judgement	ジャッジメント
judgment	ジャッジメント
jug	ジャグ
juggle	ジャッグル
juggler	ジャグラー
juggling	ジャグリング
juice	ジュース
juicer	ジューサー
juicy	ジューシー
juke-box	ジュークボックス
jumbo	ジャンボ
jumbo-jet	ジャンボジェット
jumbo-size	ジャンボサイズ
jump	ジャンプ
jumper	ジャンパ
jumper-free	ジャンパフリー
jumping	ジャンピング
jumpsuit	ジャンプスーツ
junction	ジャンクション
jungle	ジャングル
jungle-gym	ジャングルジム
junior	ジュニア
junk	ジャンク
junket	ジャンケット
junkie	ジャンキー
jury	ジュリー
jus	ジュー
just	ジャスト
just-in-time	ジャストインタイム
justice	ジャスティス
justification	ジャスティフィケーション
justify	ジャスティファイ
jute	ジュート
juvenile	ジュベナイル
kB	キロバイト
kHz	キロヘルツ
kabbalah	カバラ
kabosu	カボス
kakapo	フクロウオウム
kaki	カキ
kalanchoe	カランコエ
kale	ケール
kaleidoscope	カレイドスコープ
kalimba	カリンバ
kalmia	カルミア
kami	カムイ
kanamycin	カナマイシン
kangaroo	カンガルー
kaolin	カオリン
kaolinite	カオリナイト
kapok	カポック
kappa	カッパ
karaoke	カラオケ
karat	カラット
kaross	カロス
karst	カルスト
kasbah	カスバ
kasher	カーシェール
kashrut	カシュルート
kasugamycin	カスガマイシン
kat	カト
katydid	キリギリス
kava	カヴァ
kavakava	カバ
kayak	カヤック
kea	ケア
kebab	ケバブ
keel	キール
keep	キープ
keep-alive	キープアライブ
keeper	キーパー
keirin	ケイリン
keloid	ケロイド
kelp	ケルプ
kelvin	ケルビン
kennel	ケンネル
keno	キーノー
kenotron	ケノトロン
keratin	ケラチン
kern	カーン
kernel	カーネル
kerning	カーニング
kerosene	オイル
kerplop	チャップン
ketamine	ケタミン
ketch	ケッチ
ketchup	ケチャップ
ketone	ケトン
ketose	ケトース
ketosis	ケトーシス
kettle	ケットル
key	キー
key-bounce	チャタリング
key-map	キーマップ
key-stroke	キーストローク
key-symbol	キーシム
key-touch	キータッチ
keyboard	キーボード
keyhole	キーホール
keyman	キーマン
keynote	キーノート
keypad	キーパッド
keypuncher	キーパンチヤー
keystone	キーストーン
keysym	キーシム
keytop	キートップ
keyword	キーワード
khaki	カーキ
khat	カト
kibbutz	キブツ
kick	キック
kick-boxing	キックボクシング
kick-fighting	ソバット
kickback	キックバック
kickball	キックボール
kickboxing	キックボクシング
kicker	キッカー
kickoff	キックオフ
kickout	キックアウト
kid	キッド
kiddie	キディ
kiddy	キディ
kidney	キドニー
kidney-pie	キドニーパイ
kids	ガキ
kill	キル
killer	キラー
kilo-	キロ
kiloampere	キロアンペア
kilobit	キロビット
kilobyte	キロバイト
kilocalorie	キロカロリー
kilogram	キロ
kilogramme	キロ
kilohertz	キロヘルツ
kilolitre	キロリットル
kilometer	キロ
kilometre	キロ
kiloton	キロトン
kilowatt	キロワット
kilt	キルト
kimberlite	キンバーライト
kin	ウタリ
kinase	キナーゼ
kind	タイプ
kindling	ファイヤリング
kinema	キネマ
kinematograph	キネマトグラフ
kinescope	キネスコープ
kinesics	カイネシクス
kinesiology	キネシオロジー
kinetin	カイネチン
kinetoscope	キネトスコープ
king	キング
king-size	キングサイズ
kingbolt	キングボルト
kingfisher	カワセミ
kingmaker	キングメーカー
kingpin	キングピン
kinkajou	キンカジュー
kiosk	キオスク
kip	キップ
kipper	キッパー
kirsch	キルシュ
kirschwasser	キルシュワッサー
kiss	キス
kiss-and-ride	キスアンドライド
kiss-me-over-the-garden-gate	オオケタデ
kit	キット
kitchen	キチン
kitchenware	キッチンウエア
kite	カイト
kithara	キタラ
kitsch	キッチュ
kiwi	キーウィ
klap-skate	スラップスケート
klik	カチッ
klister	クリスター
klop	ガツン
klunk	ガツン
klystron	クライストロン
knack	コツ
knapsack	ランドセル
knitting	メリアス
knock-out	ケーオー
knotgrass	ミチヤナギ
know-how	コツ
knurling	ローレット
koala	コアラ
kobold	コーボルト
kohlrabi	コールラビ
kokanee	ヒメマス
kolkhoz	コルホーズ
kombu	コンブ
kooky	クーキー
kopeck	コペイカ
kopek	コペイカ
kosher	カーシェール
koso	クッソ
kosso	クッソ
kousso	クッソ
kraken	クラーケン
krill	オキアミ
krona	クローナ
krone	クローネ
krummhorn	クルムホルン
krypton	クリプトン
kummel	キュンメル
kuru	クールー
kvass	クワス
kwashiorkor	クワシオルコール
kymograph	カイモグラフ
la	ラ
lab	ラブ
label	ラベル
labeling	ラベリング
labor	レイバー
laboratories	ラボラトリーズ
laboratory	ラブ
laboriously	コツコツ
labour	レイバー
labyrinth	ラビリンス
lace	レース
lacertid	カナヘビ
lackadaisical	アバウト
lacquer	ラッカー
lacrosse	ラクロス
lactam	ラクタム
lactoflavin	ラクトフラビン
lactogen	ラクトゲン
lactone	ラクトン
lactose	ラクトース
lacuna	ラクナ
ladder	ラダー
ladies	レディース
ladle	オタマジャクシ
lady	レディ
ladyfish	ソトイワシ
lagoon	ラグーン
lahar	ラハール
laissez-faire	レッセフェール
lake	レーキ
lakeside	レークサイド
lama	ラマ
lamb	ラム
lamb's-quarters	アカザ
lambskin	ラムスキン
lame	ラメ
lamella	ラメラ
lamenting	ヤンマ
laminate	ラミネート
lamp	ランプ
